@relation room

@attribute 54:22:f8:17:9a:db NUMERIC
@attribute 00:91:f9:4b:44:e0 NUMERIC
@attribute e2:91:f9:4b:44:e0 NUMERIC
@attribute c0:3e:0f:85:ab:9d NUMERIC
@attribute 00:91:f9:4b:44:e1 NUMERIC
@attribute 22:91:f9:4b:44:e1 NUMERIC
@attribute 2c:39:96:b4:c3:a6 NUMERIC
@attribute 44:e9:dd:6d:36:83 NUMERIC
@attribute 5c:7d:5e:0e:4b:cf NUMERIC
@attribute c2:91:f9:4b:44:e0 NUMERIC
@attribute class {5713ab468794d11d17c53d59,5713aa0e8794d11d17c53d57,5713aa6b8794d11d17c53d58,5713abae8794d11d17c53d5a}
@data
-47.0,-66.0,-60.0,-54.0,-76.0,-76.0,-86.0,-80.0,-67.0,-64.0,5713ab468794d11d17c53d59
-47.0,-66.0,-60.0,-48.0,-78.0,-78.0,-80.0,-84.0,-67.0,-64.0,5713ab468794d11d17c53d59
-45.0,-61.0,-67.0,-58.0,-78.0,-78.0,-82.0,-88.0,-69.0,-61.0,5713ab468794d11d17c53d59
-43.0,-68.0,-77.0,-64.0,-78.0,-78.0,-84.0,-85.0,-60.0,-67.0,5713ab468794d11d17c53d59
-45.0,-58.0,-58.0,-53.0,-75.0,-75.0,-85.0,-79.0,-67.0,-58.0,5713ab468794d11d17c53d59
-45.0,-64.0,-63.0,-56.0,-88.0,-87.0,-88.0,-81.0,-79.0,-64.0,5713aa0e8794d11d17c53d57
-45.0,-74.0,-75.0,-53.0,-88.0,-87.0,-84.0,-80.0,-74.0,-67.0,5713aa0e8794d11d17c53d57
-42.0,-71.0,-66.0,-52.0,-86.0,-86.0,-84.0,-83.0,-63.0,-69.0,5713aa0e8794d11d17c53d57
-44.0,-59.0,-69.0,-64.0,-82.0,-82.0,-88.0,-85.0,-63.0,-60.0,5713ab468794d11d17c53d59
-44.0,-61.0,-61.0,-64.0,-81.0,-81.0,-88.0,-85.0,-63.0,-69.0,5713ab468794d11d17c53d59
-53.0,-61.0,-61.0,-59.0,-77.0,-79.0,-81.0,-83.0,-66.0,-66.0,5713ab468794d11d17c53d59
-45.0,-65.0,-65.0,-59.0,-78.0,-79.0,-80.0,-86.0,-66.0,-71.0,5713ab468794d11d17c53d59
-49.0,-62.0,-62.0,-65.0,-77.0,-78.0,-80.0,-86.0,-60.0,-62.0,5713ab468794d11d17c53d59
-48.0,-59.0,-59.0,-60.0,-79.0,-80.0,0.0,0.0,-66.0,-60.0,-80.5713ab468794d11d17c53d59
-48.0,-80.0,-65.0,-58.0,-77.0,-76.0,-87.0,-88.0,-62.0,-61.0,5713ab468794d11d17c53d59
-48.0,-67.0,-63.0,-61.0,-84.0,-85.0,-77.0,-81.0,-67.0,-59.0,5713ab468794d11d17c53d59
-49.0,-60.0,-62.0,-67.0,-77.0,-77.0,-87.0,-81.0,-73.0,-61.0,5713ab468794d11d17c53d59
-48.0,-65.0,-60.0,-64.0,-87.0,-87.0,-87.0,0.0,-69.0,-60.0,-85713ab468794d11d17c53d59
-50.0,-62.0,-63.0,-63.0,-77.0,-77.0,-88.0,-88.0,-69.0,-61.0,5713ab468794d11d17c53d59
-50.0,-86.0,-60.0,-67.0,-72.0,-72.0,-88.0,-84.0,-61.0,-60.0,5713ab468794d11d17c53d59
-46.0,-64.0,-89.0,-67.0,-77.0,-78.0,0.0,-86.0,-61.0,-76.0,-75713ab468794d11d17c53d59
-42.0,-67.0,-75.0,-55.0,-79.0,-79.0,-82.0,-77.0,-66.0,-71.0,5713ab468794d11d17c53d59
-47.0,-77.0,-74.0,-61.0,-90.0,0.0,-77.0,-79.0,-69.0,-73.0,-95.0,713aa6b8794d11d17c53d58
-54.0,-76.0,-74.0,-60.0,-90.0,0.0,-77.0,-74.0,-72.0,-73.0,5713aa6b8794d11d17c53d58
